"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",192905,82.1,48,-0.9,83
0100,"Alabama",192906,88.5,52,-0.8,89.3
0100,"Alabama",192907,91.4,76,0.3,91.1
0100,"Alabama",192908,93.0,108,2.4,90.6
0100,"Alabama",192909,84.9,44,-1.4,86.3
0100,"Alabama",192910,74.4,21,-2.5,76.9
0100,"Alabama",192911,62.6,16,-3.4,66
0100,"Alabama",192912,56.2,44,-1.2,57.4
0100,"Alabama",193001,55.7,59,-0.3,56
0100,"Alabama",193002,65.8,116,6.2,59.6
0100,"Alabama",193003,62.8,18,-4.4,67.2
0100,"Alabama",193004,78.8,111,3.2,75.6
0100,"Alabama",193005,84.4,87,1.4,83
0100,"Alabama",193006,89.9,77,0.6,89.3
0100,"Alabama",193007,96.9,126,5.8,91.1
0100,"Alabama",193008,91.7,91,1.1,90.6
0100,"Alabama",193009,86.9,78,0.6,86.3
0100,"Alabama",193010,73.6,13,-3.3,76.9
0100,"Alabama",193011,62.6,16,-3.4,66
0100,"Alabama",193012,52.3,12,-5.1,57.4
0100,"Alabama",193101,55.3,53,-0.7,56
0100,"Alabama",193102,61.6,86,2.0,59.6
0100,"Alabama",193103,60.7,6,-6.5,67.2
0100,"Alabama",193104,74.0,32,-1.6,75.6
0100,"Alabama",193105,80.7,22,-2.3,83
0100,"Alabama",193106,93.8,119,4.5,89.3
0100,"Alabama",193107,92.5,100,1.4,91.1
0100,"Alabama",193108,89.0,32,-1.6,90.6
0100,"Alabama",193109,92.2,121,5.9,86.3
0100,"Alabama",193110,80.9,119,4.0,76.9
0100,"Alabama",193111,73.0,124,7.0,66
0100,"Alabama",193112,63.6,120,6.2,57.4
0100,"Alabama",193201,62.5,117,6.5,56
0100,"Alabama",193202,68.0,124,8.4,59.6
0100,"Alabama",193203,63.0,20,-4.2,67.2
0100,"Alabama",193204,77.2,90,1.6,75.6
0100,"Alabama",193205,81.3,34,-1.7,83
0100,"Alabama",193206,90.0,78,0.7,89.3
0100,"Alabama",193207,93.6,115,2.5,91.1
0100,"Alabama",193208,91.1,76,0.5,90.6
0100,"Alabama",193209,84.7,39,-1.6,86.3
0100,"Alabama",193210,74.7,28,-2.2,76.9
0100,"Alabama",193211,60.5,2,-5.5,66
0100,"Alabama",193212,58.9,80,1.5,57.4
0100,"Alabama",193301,61.6,113,5.6,56
0100,"Alabama",193302,58.7,54,-0.9,59.6
0100,"Alabama",193303,67.4,61,0.2,67.2
0100,"Alabama",193304,73.7,26,-1.9,75.6
0100,"Alabama",193305,87.7,121,4.7,83
0100,"Alabama",193306,91.8,107,2.5,89.3
0100,"Alabama",193307,89.3,26,-1.8,91.1
0100,"Alabama",193308,90.8,71,0.2,90.6
0100,"Alabama",193309,91.6,120,5.3,86.3
0100,"Alabama",193310,78.1,85,1.2,76.9
0100,"Alabama",193311,67.1,79,1.1,66
0100,"Alabama",193312,66.5,124,9.1,57.4
0100,"Alabama",193401,58.6,90,2.6,56
0100,"Alabama",193402,56.4,26,-3.2,59.6
0100,"Alabama",193403,65.9,42,-1.3,67.2
0100,"Alabama",193404,76.1,73,0.5,75.6
0100,"Alabama",193405,83.0,63,0.0,83
0100,"Alabama",193406,91.1,98,1.8,89.3
0100,"Alabama",193407,92.0,92,0.9,91.1
0100,"Alabama",193408,90.4,63,-0.2,90.6
0100,"Alabama",193409,86.5,68,0.2,86.3
0100,"Alabama",193410,78.5,96,1.6,76.9
0100,"Alabama",193411,68.4,91,2.4,66
0100,"Alabama",193412,55.3,32,-2.1,57.4
0100,"Alabama",193501,57.9,86,1.9,56
0100,"Alabama",193502,60.3,73,0.7,59.6
0100,"Alabama",193503,72.2,113,5.0,67.2
0100,"Alabama",193504,75.0,55,-0.6,75.6
0100,"Alabama",193505,83.8,75,0.8,83
0100,"Alabama",193506,88.3,47,-1.0,89.3
0100,"Alabama",193507,91.9,89,0.8,91.1
0100,"Alabama",193508,91.8,94,1.2,90.6
0100,"Alabama",193509,86.2,64,-0.1,86.3
0100,"Alabama",193510,80.0,112,3.1,76.9
0100,"Alabama",193511,66.1,68,0.1,66
0100,"Alabama",193512,49.4,3,-8.0,57.4
0100,"Alabama",193601,54.2,46,-1.8,56
0100,"Alabama",193602,55.8,24,-3.8,59.6
0100,"Alabama",193603,71.4,106,4.2,67.2
0100,"Alabama",193604,73.6,25,-2.0,75.6
0100,"Alabama",193605,85.7,110,2.7,83
0100,"Alabama",193606,94.6,124,5.3,89.3
0100,"Alabama",193607,92.6,101,1.5,91.1
0100,"Alabama",193608,91.5,88,0.9,90.6
0100,"Alabama",193609,89.3,109,3.0,86.3
0100,"Alabama",193610,78.2,88,1.3,76.9
0100,"Alabama",193611,64.1,35,-1.9,66
0100,"Alabama",193612,58.5,77,1.1,57.4
0100,"Alabama",193701,65.0,126,9.0,56
0100,"Alabama",193702,58.3,51,-1.3,59.6
0100,"Alabama",193703,64.7,33,-2.5,67.2
0100,"Alabama",193704,75.8,69,0.2,75.6
0100,"Alabama",193705,84.4,87,1.4,83
0100,"Alabama",193706,91.3,101,2.0,89.3
0100,"Alabama",193707,91.3,71,0.2,91.1
0100,"Alabama",193708,91.3,83,0.7,90.6
0100,"Alabama",193709,84.2,31,-2.1,86.3
0100,"Alabama",193710,73.0,10,-3.9,76.9
0100,"Alabama",193711,61.4,9,-4.6,66
0100,"Alabama",193712,55.9,40,-1.5,57.4
0100,"Alabama",193801,56.8,77,0.8,56
0100,"Alabama",193802,66.0,119,6.4,59.6
0100,"Alabama",193803,73.9,118,6.7,67.2
0100,"Alabama",193804,75.2,59,-0.4,75.6
0100,"Alabama",193805,84.0,79,1.0,83
0100,"Alabama",193806,88.2,44,-1.1,89.3
0100,"Alabama",193807,90.2,42,-0.9,91.1
0100,"Alabama",193808,92.6,105,2.0,90.6
0100,"Alabama",193809,87.2,84,0.9,86.3
0100,"Alabama",193810,80.5,117,3.6,76.9
0100,"Alabama",193811,68.6,93,2.6,66
0100,"Alabama",193812,57.7,63,0.3,57.4
0100,"Alabama",193901,60.4,106,4.4,56
0100,"Alabama",193902,63.2,102,3.6,59.6
